epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,230.1,1.08032,1.3251,1.06461,0.5368,0.85714,0.53877,0.37043,1.06786,3.31181,1.14956,0.000421882,0.000421882,0.000421882
73,233.361,1.03628,1.13273,1.18954,0.5368,0.85714,0.53877,0.37043,1.06786,3.31181,1.14956,0.000413568,0.000413568,0.000413568
74,236.546,1.37686,1.35873,1.40817,0.5368,0.85714,0.53877,0.37043,1.06786,3.31181,1.14956,0.000404858,0.000404858,0.000404858
75,239.994,1.26134,1.34503,1.36569,0.49749,0.85714,0.55561,0.38569,1.00034,3.09332,1.0943,0.000395752,0.000395752,0.000395752
76,243.344,1.00719,1.32647,1.07998,0.49749,0.85714,0.55561,0.38569,1.00034,3.09332,1.0943,0.00038625,0.00038625,0.00038625
77,247.896,1.08941,1.63433,1.04031,0.49749,0.85714,0.55561,0.38569,1.00034,3.09332,1.0943,0.000376352,0.000376352,0.000376352
78,251.59,0.80622,1.88862,1.17864,0.48541,0.85714,0.51607,0.4,1.00682,2.27559,1.03852,0.000366058,0.000366058,0.000366058
79,256.272,1.25269,1.71668,1.54772,0.48541,0.85714,0.51607,0.4,1.00682,2.27559,1.03852,0.000355368,0.000355368,0.000355368
80,259.531,1.00161,1.40176,1.05975,0.48541,0.85714,0.51607,0.4,1.00682,2.27559,1.03852,0.000344282,0.000344282,0.000344282
81,262.892,1.24691,1.38704,1.00225,0.74917,0.85714,0.69411,0.55248,1.0838,1.76515,1.0605,0.0003328,0.0003328,0.0003328
82,266.094,1.22463,1.36483,1.14872,0.74917,0.85714,0.69411,0.55248,1.0838,1.76515,1.0605,0.000320922,0.000320922,0.000320922
83,269.291,1.45785,1.41002,1.41866,0.74917,0.85714,0.69411,0.55248,1.0838,1.76515,1.0605,0.000308648,0.000308648,0.000308648
84,272.604,1.06587,1.11424,1.07837,0.65816,0.85714,0.63718,0.52369,1.0012,1.68432,1.00348,0.000295978,0.000295978,0.000295978
85,275.882,0.9697,0.9401,0.95725,0.65816,0.85714,0.63718,0.52369,1.0012,1.68432,1.00348,0.000282912,0.000282912,0.000282912
86,279.331,1.20025,1.02735,0.99625,0.65816,0.85714,0.63718,0.52369,1.0012,1.68432,1.00348,0.00026945,0.00026945,0.00026945
87,282.521,1.17276,1.11212,1.07948,0.65816,0.85714,0.63718,0.52369,1.0012,1.68432,1.00348,0.000255592,0.000255592,0.000255592
88,285.886,1.13227,1.32699,1.18216,0.83678,0.85714,0.8647,0.75735,0.97202,1.37802,0.98442,0.000241338,0.000241338,0.000241338
89,289.233,1.01904,1.03198,1.16626,0.83678,0.85714,0.8647,0.75735,0.97202,1.37802,0.98442,0.000226688,0.000226688,0.000226688
90,292.559,0.76204,0.90255,1.02952,0.83678,0.85714,0.8647,0.75735,0.97202,1.37802,0.98442,0.000211642,0.000211642,0.000211642
91,296.011,1.45514,1.32309,1.67467,0.83678,0.85714,0.8647,0.75735,0.97202,1.37802,0.98442,0.0001962,0.0001962,0.0001962
92,299.749,1.26931,1.56343,1.39698,0.9186,0.85714,0.89761,0.76084,0.97176,1.19729,0.98246,0.000180362,0.000180362,0.000180362
93,303.323,0.93408,0.86079,1.1567,0.9186,0.85714,0.89761,0.76084,0.97176,1.19729,0.98246,0.000164128,0.000164128,0.000164128
94,306.758,1.08189,1.15209,1.10168,0.9186,0.85714,0.89761,0.76084,0.97176,1.19729,0.98246,0.000147498,0.000147498,0.000147498
95,310.089,0.85542,0.80277,0.95481,0.9186,0.85714,0.89761,0.76084,0.97176,1.19729,0.98246,0.000130472,0.000130472,0.000130472
96,313.619,0.89769,0.9222,0.94832,0.98405,0.85714,0.904,0.75239,0.90886,1.0568,0.96063,0.00011305,0.00011305,0.00011305
97,316.783,1.04639,1.22005,1.1137,0.98405,0.85714,0.904,0.75239,0.90886,1.0568,0.96063,9.5232e-05,9.5232e-05,9.5232e-05
98,319.956,0.98137,1.0285,0.83336,0.98405,0.85714,0.904,0.75239,0.90886,1.0568,0.96063,7.7018e-05,7.7018e-05,7.7018e-05
99,323.154,1.01581,1.06518,0.91601,0.98405,0.85714,0.904,0.75239,0.90886,1.0568,0.96063,5.8408e-05,5.8408e-05,5.8408e-05
100,326.429,0.93511,0.90061,0.93248,0.98747,0.85714,0.92033,0.7441,0.85438,0.95445,0.94591,3.9402e-05,3.9402e-05,3.9402e-05
